t(s),Total retention volume 1,Total retention volume 2,Total retention volume 3
0.1,9.408289329555568e+16,0.0,0.0
0.21000000000000002,2.8156065352117952e+17,0.0,0.0
0.33100000000000007,5.4555188527720845e+17,0.0,0.0
0.46410000000000007,8.63159151547178e+17,0.0,0.0
0.6105100000000001,1.2163601958537933e+18,0.0,0.0
0.7715610000000002,1.5970196730305748e+18,0.0,0.0
0.9487171000000002,2.0052970183134405e+18,0.0,0.0
1.1435888100000002,2.4455137186158444e+18,0.0,0.0
1.3579476910000003,2.923166791118432e+18,0.0,0.0
1.5937424601000005,3.443811066146324e+18,0.0,0.0
1.8531167061100007,4.012957411534438e+18,0.0,0.0
2.138428376721001,4.636243434254136e+18,0.0,0.0
2.452271214393101,5.319599819946231e+18,0.0,0.0
2.7375828850041013,5.936163567040221e+18,0.0,0.0
3.0514257226762016,6.612006933622249e+18,0.0,0.0
3.3367373932872018,7.223100962848768e+18,0.0,0.0
3.650580230959302,7.893992038715204e+18,0.0,0.0
3.935891901570302,8.501614032722202e+18,0.0,0.0
4.2497347392424025,9.169229622514466e+18,0.0,0.0
4.535046409853402,9.774435015490998e+18,0.0,0.0
4.848889247525502,1.0439629106564856e+19,0.0,0.0
5.134200918136502,1.1042955828067017e+19,0.0,0.0
5.448043755808602,1.1706173409513507e+19,0.0,0.0
5.793270877247912,1.2435945024184627e+19,0.0,0.0
6.107113714920012,1.3098149280305576e+19,0.0,0.0
6.452340836359323,1.3826025292156635e+19,0.0,0.0
6.7661836740314225,1.448634989776428e+19,0.0,0.0
7.111410795470733,1.5212009563585319e+19,0.0,0.0
7.425253633142833,1.5870378366949548e+19,0.0,0.0
7.7704807545821435,1.6593806121672067e+19,0.0,0.0
8.150230588165385,1.7389226121596887e+19,0.0,0.0
8.495457709604695,1.8110985101457926e+19,0.0,0.0
8.875207543187937,1.890388993921145e+19,0.0,0.0
9.220434664627247,1.9623047332471214e+19,0.0,0.0
9.600184498210488,2.0412639747804025e+19,0.0,0.0
9.945411619649798,2.1128635652980388e+19,0.0,0.0
10.32516145323304,2.191457412306893e+19,0.0,0.0
10.742886270174605,2.277754359454903e+19,0.0,0.0
11.122636103757847,2.3559906433553887e+19,0.0,0.0
11.540360920699412,2.441815169025562e+19,0.0,0.0
11.920110754282653,2.519576545595846e+19,0.0,0.0
12.337835571224218,2.604827863706944e+19,0.0,0.0
12.71758540480746,2.6820375918491365e+19,0.0,0.0
13.135310221749025,2.7666389062444753e+19,0.0,0.0
13.594807520384746,2.8593212598860263e+19,0.0,0.0
14.012532337326311,2.9431861632529146e+19,0.0,0.0
14.472029635962032,3.034961533383457e+19,0.0,0.0
14.889754452903597,3.1179290786364273e+19,0.0,0.0
15.349251751539319,3.208631352729614e+19,0.0,0.0
15.766976568480883,3.2905591329663615e+19,0.0,0.0
16.226473867116606,3.380037118449197e+19,0.0,0.0
16.64419868405817,3.460786690256754e+19,0.0,0.0
17.103695982693893,3.548884769619042e+19,0.0,0.0
17.521420799635457,3.628309744355585e+19,0.0,0.0
17.98091809827118,3.714861319487649e+19,0.0,0.0
18.398642915212744,3.79280482589998e+19,0.0,0.0
18.858140213848465,3.877631698994655e+19,0.0,0.0
19.27586503079003,3.953926746964631e+19,0.0,0.0
19.73536232942575,4.0368401472587014e+19,0.0,0.0
20.240809357925045,4.126780627573041e+19,0.0,0.0
20.700306656560766,4.207405772166488e+19,0.0,0.0
21.20575368506006,4.2946808230335685e+19,0.0,0.0
21.66525098369578,4.372755453531054e+19,0.0,0.0
22.170698012195075,4.4570699733213454e+19,0.0,0.0
22.630195310830796,4.5323250033891115e+19,0.0,0.0
23.13564233933009,4.613385942674711e+19,0.0,0.0
23.59513963796581,4.685558749670643e+19,0.0,0.0
24.100586666465105,4.763082515774468e+19,0.0,0.0
24.65657839781433,4.846033426650362e+19,0.0,0.0
25.162025426313622,4.9193969065724666e+19,0.0,0.0
25.718017157662846,4.997587685816459e+19,0.0,0.0
26.22346418616214,5.06647693855625e+19,0.0,0.0
26.779455917511363,5.139576031807454e+19,0.0,0.0
27.39104682199551,5.216672372719518e+19,0.0,0.0
27.947038553344733,5.283884184367398e+19,0.0,0.0
28.55862945782888,5.3543253905449845e+19,0.0,0.0
29.23137945276144,5.42752685538631e+19,0.0,0.0
29.842970357245587,5.490396489980778e+19,0.0,0.0
30.51572035217815,5.555126961358362e+19,0.0,0.0
31.255745346603966,5.620964910473343e+19,0.0,0.0
32.06977284047237,5.686914097137017e+19,0.0,0.0
32.96520308372761,5.7517087318752395e+19,0.0,0.0
33.95017635130837,5.813794695587125e+19,0.0,0.0
35.03364694564721,5.871332362473008e+19,0.0,0.0
36.22546459941994,5.922234781443091e+19,0.0,0.0
37.53646401856993,5.964251306549669e+19,0.0,0.0
38.97856337963493,5.9950935252669776e+19,0.0,0.0
40.564872676806424,6.012570377088908e+19,0.0,0.0
42.30981290369507,6.014646989994274e+19,0.0,0.0
44.229247153272574,5.999273757006672e+19,0.0,0.0
46.34062482780784,5.963789092111581e+19,0.0,0.0
48.66314026979662,5.903772821992081e+19,0.0,0.0
51.21790725598429,5.811549220095794e+19,0.0,0.0
54.02815094079072,5.6751357263627895e+19,0.0,0.0
57.11941899407779,5.4789518603368055e+19,0.0,0.0
60.519813852693574,5.207411061805291e+19,0.0,0.0
64.26024819717094,4.851152670548739e+19,0.0,0.0
68.37472597609603,4.413458272051933e+19,0.0,0.0
72.90065153291364,3.91303872652291e+19,0.0,0.0
77.87916964541301,3.3809242843573453e+19,0.0,0.0
82.87916964541301,2.8979574334963462e+19,0.0,0.0
87.87916964541301,2.477690876135824e+19,0.0,0.0
92.87916964541301,2.119300747067854e+19,0.0,0.0
97.87916964541301,1.8172136465465567e+19,0.0,0.0
102.87916964541301,1.6489250488956725e+19,0.0,0.0
108.37916964541301,1.5902170065385091e+19,0.0,0.0
114.42916964541301,1.5830931479052573e+19,0.0,0.0
121.08416964541301,1.6041725995378536e+19,0.0,0.0
128.404669645413,1.64309551375258e+19,0.0,0.0
136.457219645413,1.6946407774503883e+19,0.0,0.0
145.31502464541302,1.7559464144438188e+19,0.0,0.0
155.058610145413,1.8253494434283491e+19,0.0,0.0
165.776554195413,1.901857458641066e+19,0.0,0.0
177.56629265041303,1.9848794955487752e+19,0.0,0.0
190.53500495091305,2.0740787217527337e+19,0.0,0.0
204.80058848146305,2.1692872266808635e+19,0.0,0.0
220.49273036506807,2.2704545083262947e+19,0.0,0.0
237.75408643703358,2.3776152022446866e+19,0.0,0.0
256.7415781161956,2.490868280700148e+19,0.0,0.0
276.7415781161956,2.6054806704265245e+19,0.0,0.0
296.7415781161956,2.7158393118872166e+19,0.0,0.0
316.7415781161956,2.8223307077971866e+19,0.0,0.0
336.7415781161956,2.9252988020405846e+19,0.0,0.0
356.7415781161956,3.025047263764351e+19,0.0,0.0
376.7415781161956,3.1218435918197092e+19,0.0,0.0
396.7415781161956,3.21592358398818e+19,0.0,0.0
416.7415781161956,3.3074955691072942e+19,0.0,0.0
436.7415781161956,3.396744184907779e+19,0.0,0.0
456.7415781161956,3.4838336553393005e+19,0.0,0.0
476.7415781161956,3.5689105934046675e+19,0.0,0.0
496.7415781161956,3.652106382138812e+19,0.0,0.0
516.7415781161956,4.642609227549412e+19,0.0,0.0
521.7415781161956,5.040358824025302e+19,0.0,0.0
526.7415781161956,5.560899045942449e+19,0.0,0.0
531.7415781161956,6.211939304692315e+19,0.0,0.0
536.7415781161956,6.998478263546031e+19,0.0,0.0
541.7415781161956,7.909587988546981e+19,0.0,0.0
546.7415781161956,8.916209578687424e+19,0.0,0.0
551.7415781161956,9.98689366981446e+19,0.0,0.0
556.7415781161956,1.110851375503664e+20,0.0,0.0
561.7415781161956,1.2279436334251559e+20,0.0,0.0
566.7415781161956,1.3471232532300171e+20,0.0,0.0
571.7415781161956,1.460754670737606e+20,0.0,0.0
576.7415781161956,1.5594344644244043e+20,0.0,0.0
581.7415781161956,1.636717450475248e+20,0.0,0.0
586.7415781161956,1.6908076729317625e+20,0.0,0.0
591.7415781161956,1.7230834034693495e+20,0.0,0.0
596.7415781161956,1.735296229829735e+20,0.0,0.0
601.7415781161956,1.7248218390846508e+20,0.0,0.0
606.2870326616501,1.7192587512542885e+20,0.0,0.0
611.2870326616501,1.7147809798187598e+20,0.0,0.0
616.7870326616501,1.710863068385439e+20,0.0,0.0
622.83703266165,1.7072727510297045e+20,0.0,0.0
629.49203266165,1.7038845784814194e+20,0.0,0.0
636.81253266165,1.7006229212356618e+20,0.0,0.0
644.86508266165,1.6974387833545078e+20,0.0,0.0
653.72288766165,1.694298390322844e+20,0.0,0.0
663.46647316165,1.691177163749644e+20,0.0,0.0
674.18441721165,1.6880563671727597e+20,0.0,0.0
685.9741556666501,1.6849211484958222e+20,0.0,0.0
698.94286796715,1.6817593444088912e+20,0.0,0.0
713.2084514977,1.6785607179606524e+20,0.0,0.0
728.900593381305,1.6753164530005262e+20,0.0,0.0
746.1619494532706,1.672018807537052e+20,0.0,0.0
765.1494411324327,1.6686608694014073e+20,0.0,0.0
786.035681979511,1.665236380144331e+20,0.0,0.0
809.0105469112971,1.661739605854308e+20,0.0,0.0
834.2828983362618,1.6581652411009607e+20,0.0,0.0
862.0824849037231,1.6545083368056193e+20,0.0,0.0
892.6620301279304,1.650764245751023e+20,0.0,0.0
926.2995298745584,1.646928581337757e+20,0.0,0.0
963.3007795958492,1.642997186461645e+20,0.0,0.0
1004.0021542892691,1.6389661102506344e+20,0.0,0.0
1048.7736664520312,1.6348315910018764e+20,0.0,0.0
1098.0223298310693,1.6305900440858565e+20,0.0,0.0
1148.0223298310693,1.6265536274488564e+20,0.0,0.0
1198.0223298310693,1.6227506574824925e+20,0.0,0.0
1248.0223298310693,1.61915191352027e+20,0.0,0.0
1298.0223298310693,1.6157335669445388e+20,0.0,0.0
1348.0223298310693,1.6124759142138056e+20,0.0,0.0
1398.0223298310693,1.6093624610695247e+20,0.0,0.0
1448.0223298310693,1.6063792486020753e+20,0.0,0.0
1498.0223298310693,1.6035143485996076e+20,0.0,0.0
1548.0223298310693,1.600757479711131e+20,0.0,0.0
1598.0223298310693,1.59809971096446e+20,0.0,0.0
1648.0223298310693,1.598709465307573e+20,0.0,0.0
1653.0223298310693,1.5474139461529905e+20,0.0,0.0
1658.0223298310693,1.4693641430920457e+20,0.0,0.0
1663.0223298310693,1.370781275991734e+20,0.0,0.0
1668.0223298310693,1.2584037707055466e+20,0.0,0.0
1673.0223298310693,1.1402462019404615e+20,0.0,0.0
1678.0223298310693,1.0238709551880605e+20,0.0,0.0
1683.0223298310693,9.148076382352653e+19,0.0,0.0
1688.0223298310693,8.160616084224285e+19,0.0,0.0
1693.0223298310693,7.285923949256853e+19,0.0,0.0
1698.0223298310693,6.520014905851118e+19,0.0,0.0
1703.0223298310693,6.004171127375218e+19,0.0,0.0
1708.5223298310693,5.67986190405863e+19,0.0,0.0
1714.5723298310693,5.459415071865347e+19,0.0,0.0
1721.2273298310693,5.300974012313094e+19,0.0,0.0
1728.5478298310693,5.1834324559417156e+19,0.0,0.0
1736.6003798310694,5.095005880687079e+19,0.0,0.0
1745.4581848310695,5.028607375495444e+19,0.0,0.0
1755.2017703310696,4.979728228979535e+19,0.0,0.0
1765.9197143810695,4.945388371629488e+19,0.0,0.0
1777.7094528360694,4.923567898309261e+19,0.0,0.0
1790.6781651365695,4.912879207138195e+19,0.0,0.0
1804.9437486671195,4.9123681827991134e+19,0.0,0.0
1820.6358905507245,4.921388509555105e+19,0.0,0.0
1837.89724662269,4.9395193609689375e+19,0.0,0.0
1856.8847383018522,4.966509832518398e+19,0.0,0.0
1876.8847383018522,5.000544701541265e+19,0.0,0.0
1896.8847383018522,5.038678779580915e+19,0.0,0.0
1916.8847383018522,5.079855471073121e+19,0.0,0.0
1936.8847383018522,5.123314023240998e+19,0.0,0.0
1956.8847383018522,5.168494525268149e+19,0.0,0.0
1976.8847383018522,5.214977085126695e+19,0.0,0.0
1996.8847383018522,5.2624417153502224e+19,0.0,0.0
2016.8847383018522,5.3106411750491865e+19,0.0,0.0
2036.8847383018522,5.359382151879154e+19,0.0,0.0
2056.884738301852,5.408511950642014e+19,0.0,0.0
2076.884738301852,5.457908901557289e+19,0.0,0.0
2096.884738301852,5.5074753331944505e+19,0.0,0.0
2116.884738301852,6.5008307211797955e+19,0.0,0.0
2121.884738301852,6.90062707582666e+19,0.0,0.0
2126.884738301852,7.424060698367792e+19,0.0,0.0
2131.884738301852,8.078589072848808e+19,0.0,0.0
2136.884738301852,8.86873891885031e+19,0.0,0.0
2141.884738301852,9.782938541466667e+19,0.0,0.0
2146.884738301852,1.0791716975678983e+20,0.0,0.0
2151.884738301852,1.1863892708886697e+20,0.0,0.0
2156.884738301852,1.2986949077941705e+20,0.0,0.0
2161.884738301852,1.4159077637993472e+20,0.0,0.0
2166.884738301852,1.5350540904904455e+20,0.0,0.0
2171.884738301852,1.6483833986212168e+20,0.0,0.0
2176.884738301852,1.746517831171578e+20,0.0,0.0
2181.884738301852,1.8231410581996166e+20,0.0,0.0
2186.884738301852,1.876578267212747e+20,0.0,0.0
2191.884738301852,1.908261959757863e+20,0.0,0.0
2196.884738301852,1.9198909026188113e+20,0.0,0.0
2201.884738301852,1.909440521011944e+20,0.0,0.0
2206.4301928473064,1.9038755392144428e+20,0.0,0.0
2211.4301928473064,1.8993958821354124e+20,0.0,0.0
2216.9301928473064,1.8954767685330842e+20,0.0,0.0
2222.9801928473066,1.8918856639069123e+20,0.0,0.0
2229.635192847307,1.888496926989696e+20,0.0,0.0
2236.9556928473066,1.885234833147633e+20,0.0,0.0
2245.0082428473065,1.8820503357967794e+20,0.0,0.0
2253.8660478473066,1.8789096317805835e+20,0.0,0.0
2263.6096333473065,1.8757881255704976e+20,0.0,0.0
2274.3275773973064,1.8726670698889023e+20,0.0,0.0
2286.1173158523065,1.8695316054739298e+20,0.0,0.0
2299.0860281528066,1.8663695640617153e+20,0.0,0.0
2313.3516116833566,1.8631707051484797e+20,0.0,0.0
2329.0437535669616,1.859926209955029e+20,0.0,0.0
2346.305109638927,1.8566283344910988e+20,0.0,0.0
2365.292601318089,1.8532701650307242e+20,0.0,0.0
2386.178842165167,1.8498454418846666e+20,0.0,0.0
2409.1537070969534,1.8463484301339574e+20,0.0,0.0
2434.426058521918,1.8427738235142226e+20,0.0,0.0
2462.225645089379,1.8391166722443012e+20,0.0,0.0
2492.8051903135865,1.8353723285054534e+20,0.0,0.0
2526.4426900602148,1.8315364051754297e+20,0.0,0.0
2563.443939781506,1.8276047446890702e+20,0.0,0.0
2604.1453144749257,1.8235733957625414e+20,0.0,0.0
2648.916826637688,1.8194385963207256e+20,0.0,0.0
2698.165490016726,1.8151967613938565e+20,0.0,0.0
2748.165490016726,1.8111600701146084e+20,0.0,0.0
2798.165490016726,1.807356840861628e+20,0.0,0.0
2848.165490016726,1.8037578510457825e+20,0.0,0.0
2898.165490016726,1.8003392704873582e+20,0.0,0.0
2948.165490016726,1.797081394356468e+20,0.0,0.0
2998.165490016726,1.7939677273177552e+20,0.0,0.0
3048.165490016726,1.790984309551134e+20,0.0,0.0
3098.165490016726,1.7881192120670424e+20,0.0,0.0
3148.165490016726,1.7853621528441163e+20,0.0,0.0
3198.165490016726,1.7827042003276648e+20,0.0,0.0
3248.165490016726,1.779663126797672e+20,0.0,0.0
3253.165490016726,1.72823730930662e+20,0.0,0.0
3258.165490016726,1.6500598979767596e+20,0.0,0.0
3263.165490016726,1.5513711060384337e+20,0.0,0.0
3268.165490016726,1.4389811336914467e+20,0.0,0.0
3273.165490016726,1.3209307176068132e+20,0.0,0.0
3278.165490016726,1.2047464517734952e+20,0.0,0.0
3283.165490016726,1.0958821054888598e+20,0.0,0.0
3288.165490016726,9.972555779545329e+19,0.0,0.0
3293.165490016726,9.097354231077246e+19,0.0,0.0
3298.165490016726,8.32817607286379e+19,0.0,0.0
3303.165490016726,7.813613727905199e+19,0.0,0.0
3308.665490016726,7.48534489106479e+19,0.0,0.0
3314.715490016726,7.258160606655265e+19,0.0,0.0
3321.3704900167263,7.091246827051637e+19,0.0,0.0
3328.690990016726,6.963915428911799e+19,0.0,0.0
3336.743540016726,6.864559740496237e+19,0.0,0.0
3345.601345016726,6.7861669619428065e+19,0.0,0.0
3355.344930516726,6.724254029470094e+19,0.0,0.0
3366.062874566726,6.675842338981988e+19,0.0,0.0
3377.852613021726,6.638901402995925e+19,0.0,0.0
3390.821325322226,6.6120276852145906e+19,0.0,0.0
3405.086908852776,6.5942498378141835e+19,0.0,0.0
3420.779050736381,6.584905695738799e+19,0.0,0.0
3438.0404068083467,6.583561885263582e+19,0.0,0.0
3457.0278984875085,6.589959717537125e+19,0.0,0.0
3477.0278984875085,6.603167600059991e+19,0.0,0.0
3497.0278984875085,6.6212847740500206e+19,0.0,0.0
3517.0278984875085,6.643204522664533e+19,0.0,0.0
3537.0278984875085,6.668119646225797e+19,0.0,0.0
3557.0278984875085,6.695427343555506e+19,0.0,0.0
3577.0278984875085,6.724668169113929e+19,0.0,0.0
3597.0278984875085,6.755485663176039e+19,0.0,0.0
3617.0278984875085,6.787598934078225e+19,0.0,0.0
3637.0278984875085,6.820783591208934e+19,0.0,0.0
3657.0278984875085,6.854858201960712e+19,0.0,0.0
3677.0278984875085,6.889674487938408e+19,0.0,0.0
3697.0278984875085,6.925110105514904e+19,0.0,0.0
3717.0278984875085,7.925195615039237e+19,0.0,0.0
3722.0278984875085,8.327615938401839e+19,0.0,0.0
3727.0278984875085,8.854277678144343e+19,0.0,0.0
3732.0278984875085,9.512481811144635e+19,0.0,0.0
3737.0278984875085,1.0306336006521093e+20,0.0,0.0
3742.0278984875085,1.1223658461741885e+20,0.0,0.0
3747.0278984875085,1.2234600044898855e+20,0.0,0.0
3752.0278984875085,1.3308277170344218e+20,0.0,0.0
3757.0278984875085,1.4432782777548607e+20,0.0,0.0
3762.0278984875085,1.5606100957188125e+20,0.0,0.0
3767.0278984875085,1.6797168601632447e+20,0.0,0.0
3772.0278984875085,1.7927361917545094e+20,0.0,0.0
3777.0278984875085,1.8903200982252002e+20,0.0,0.0
3782.0278984875085,1.966282389628092e+20,0.0,0.0
3787.0278984875085,2.0190679830764093e+20,0.0,0.0
3792.0278984875085,2.0501613994742353e+20,0.0,0.0
3797.0278984875085,2.0612024164293414e+20,0.0,0.0
3802.0278984875085,2.0507778780308308e+20,0.0,0.0
3806.573353032963,2.045211805238123e+20,0.0,0.0
